경도,위도,원격제어,관리기관1,관리기관2,보호대상구분,보호대상물,설치년도,시도,시군구,상세주소
127.66082,37.29834,불가능,경기도,여주시,문화재,신륵사,2014,경기도,여주시,천송동 282
127.50308,37.12676,가능,경기도,이천시,문화재,원경사,2014,경기도,이천시,설성면 수산리 산65-1
127.31536,37.75608,가능,경기도,산림환경연구소,휴양림,축령산자연휴양림,2015,경기도,남양주시,수동면 축령산로 299
126.6444444,37.22527778,가능,경기도,산림환경연구소,수목원,바다향기수목원,2016,경기도,안산시 단원구,선감동 8-5
127.46426,37.83785,불가능,경기도,가평군,휴양림,칼봉산자연휴양림,2017,경기도,가평군,가평읍 경반리 산138-1
127.28891,36.91358,불가능,경기도,안성시,문화재,청룡사,2018,경기도,안성시,서운면 청용리 28
127.29556,37.70635,불가능,경기도,남양주시,수목원,물맑음수목원,2018,경기도,남양주시,수동면 지둔리 산129
127.31212,36.94072,불가능,경기도,안성시,휴양림,서운산자연휴양림,2019,경기도,안성시,금광면 상중리 산25-1
127.03765,37.2903,불가능,경기도,수원시,전통사찰,봉녕사,2020,경기도,수원시 팔달구,팔달대로 236-54
126.93596,37.41908,불가능,경기도,안양시,수목원,관악수목원,2020,경기도,안양시 만안구,예술공원로 280
126.93772,37.26115,불가능,경기도,수원시,전통사찰,용화사,2021,경기도,수원시 권선구,호매실동 905-2
127.26999,37.31551,불가능,경기도,용인시,휴양림,용인자연휴양림,2021,경기도,용인시 처인구,모현읍 초부로 220
128.88572,37.54975,불가능,강원도,산림과학연구원,수목원,백두대간생태수목원,2012,강원특별자치도,정선군,임계면 임계리 산8-12
128.032,37.25157,불가능,강원도,원주시,휴양림,치악산자연휴양림,2013,강원특별자치도,원주시,판부면 금대리 산120
128.79519,37.22447,불가능,강원도,정선군,휴양림,도사곡자연휴양림,2013,강원특별자치도,정선군,사북읍 사북리 447-4임
128.31999,38.03464,불가능,강원도,인제군,휴양림,하추자연휴양림,2013,강원특별자치도,인제군,인제읍 하추리 산64
128.88716,37.55014,불가능,강원도,산림과학연구원,수목원,백두대간생태수목원,2013,강원특별자치도,정선군,임계면 임계리 산8-12
128.62639,38.1238,불가능,강원도,양양군,문화재,낙산사#1,2014,강원특별자치도,양양군,강현면 전진리 산5-2
128.62645,38.12489,불가능,강원도,양양군,문화재,낙산사#2,2014,강원특별자치도,양양군,강현면 전진리 산5-2
128.78753,37.22285,불가능,강원도,정선군,휴양림,도사곡자연휴양림,2014,강원특별자치도,정선군,사북읍 사북리 447-1임
127.74378,37.74746,불가능,강원도,춘천시,휴양림,춘천숲자연휴양림,2015,강원특별자치도,춘천시,동산면 군자리 산403
127.7889,38.0394,가능,강원도,화천군,목재체험장,한옥학교,2015,강원특별자치도,화천군,간동면 유촌리 산36
127.56901,37.74532,불가능,강원도,춘천시,문화재,의암류인석기념관묘소,2016,강원특별자치도,춘천시,남면 가정리 산91
127.6982,38.1066,가능,강원도,화천군,문화재,화천향교,2016,강원특별자치도,화천군,화천읍 하리 산2
128.43868,38.3781,불가능,강원도,고성군,문화재,간성향교#2,2017,강원특별자치도,고성군,간성읍 교동리 산60
128.43839,38.3793,불가능,강원도,고성군,문화재,간성향교#2,2017,강원특별자치도,고성군,간성읍 교동리 산60
127.35696,38.22852,가능,강원도,철원군,목재체험장,두루웰숲속문화촌,2018,강원특별자치도,철원군,갈말읍 지경리 산5
128.99863,37.71835,가능,강원도,강릉시,휴양림,임해자연휴양림,2020,강원특별자치도,강릉시,강동면 안인진리 산46-1
