소방서 및 안전센터명,위도,경도,시도,시군구,상세주소,상위 본부명
강남소방서-강남_삼성-119 안전센터,37.5102929,127.06684,서울특별시,강남구,테헤란로 629 (삼성동),서울소방재난본부
마포소방서-공덕-119 안전센터,37.5500544,126.9597723,서울특별시,마포구,만리재옛길 82 (공덕동),서울소방재난본부
마포소방서-마포_성산-119 안전센터,37.5706103,126.9031294,서울특별시,마포구,월드컵북로 240 (성산동),서울소방재난본부
마포소방서-서교-119 안전센터,37.5502855,126.9155632,서울특별시,마포구,양화로 60 (서교동),서울소방재난본부
중부소방서_대구-성명-119 안전센터,35.8334026,128.5601525,대구광역시,남구,대명남로 12-1,대구소방안전본부
중부소방서_대구-대명-119 안전센터,35.8374047,128.5790738,대구광역시,남구,현충로15길 21-81,대구소방안전본부
중부소방서_대구-봉덕-119 안전센터,35.8490502,128.5992964,대구광역시,남구,희망로3길 29,대구소방안전본부
중부소방서_대구-명덕-119 안전센터,35.8555084,128.5872111,대구광역시,남구,명덕로34길 22,대구소방안전본부
중부소방서_대구-삼덕-119 안전센터,35.8671907,128.5996645,대구광역시,중구,공평로 35,대구소방안전본부
중부소방서_대구-대신-119 안전센터,35.8688788,128.5807617,대구광역시,중구,큰장로26길 45,대구소방안전본부
중부소방서_대구-서문로-119 안전센터,35.8715329,128.5899696,대구광역시,중구,경상감영길 45,대구소방안전본부
중부소방서_대구-남산-119 안전센터,35.862557,128.575188,대구광역시,중구,달구벌대로 1926,대구소방안전본부
항만소방서-항만_청학-119 안전센터,35.0981459,129.0565835,부산광역시,영도구,태종로 274(청학동),부산소방안전본부
항만소방서-영선-119 안전센터,35.091015,129.043475,부산광역시,영도구,태종로 115(영선동),부산소방안전본부
항만소방서-동삼-119 안전센터,35.0817621,129.0767847,부산광역시,영도구,해양로 297(동삼동),부산소방안전본부
기장소방서-장안-119 안전센터,35.3330346,129.2632776,부산광역시,기장군,장안산단 3로 43(장안읍),부산소방안전본부
기장소방서-기장_송정-119 안전센터,35.1838206,129.2030354,부산광역시,해운대구,송정중앙로 15번길 16(송정동),부산소방안전본부
기장소방서-기장-119 안전센터,35.2385406,129.2154739,부산광역시,기장군,기장읍 차성동로 5번길 16(기장읍),부산소방안전본부
기장소방서-정관-119 안전센터,35.3249052,129.1799668,부산광역시,기장군,정관면 용수로 7(정관읍),부산소방안전본부
강서소방서_부산-지사-119 안전센터,35.1486079,128.8331917,부산광역시,강서구,과학산단로 333번길 3(지사동),부산소방안전본부
